TNF 月度,,,,,,
202205,,,,,,
,北面/THE NORTH FACE,始祖鸟/ARC‘TERYX,匡威/Converse,骆驼/CAMEL,阿迪达斯/adidas,可隆/KOLON SPORT
,,,,,,
成交金额指数,"239,933","14,916","223,943","409,205","2,210,248","58,237"
,"实际值：23,794,320.05",,,,,
成交人数指数,"16,702",716,"24,514","76,264","376,255","1,897"
,"实际值：43,346",,,,,
成交件数指数,"25,221",754,"32,755","99,311","558,185","2,866"
,"实际值：63,395",,,,,
,,,,,,
202206,,,,,,
,北面/THE NORTH FACE,始祖鸟/ARC‘TERYX,匡威/Converse,骆驼/CAMEL,阿迪达斯/adidas,可隆/KOLON SPORT
,,,,,,
成交金额指数,"331,458","12,390","226,581","440,355","2,058,956","58,846"
,"实际值：37,481,546.44",,,,,
成交人数指数,"27,783",514,"20,768","74,835","355,166","1,987"
,"实际值：71,823",,,,,
成交件数指数,"37,100",549,"29,391","104,668","532,223","3,063"
,"实际值：102,616",,,,,
,,,,,,
,,,,,,
,北面/THE NORTH FACE,始祖鸟/ARC‘TERYX,匡威/Converse,骆驼/CAMEL,阿迪达斯/adidas,可隆/KOLON SPORT
,,,,,,
成交金额指数,"239,347","8,265","203,293","552,652","1,287,481","29,840"
,"实际值：23,688,679.75",,,,,
成交人数指数,"16,418",331,"17,330","75,178","234,917","1,156"
,"实际值：42,370",,,,,
成交件数指数,"21,465",350,"24,639","104,431","380,132","1,571"
,"实际值：58,179",,,,,
,,,,,,
,,,,,,
,北面/THE NORTH FACE,始祖鸟/ARC‘TERYX,匡威/Converse,骆驼/CAMEL,阿迪达斯/adidas,可隆/KOLON SPORT
,,,,,,
成交金额指数,"324,722","7,427","255,938","612,216","1,604,164","39,318"
,"实际值：36,266,910.33",,,,,
成交人数指数,"14,916",321,"20,984","80,335","273,919",953
,"实际值：38,139",,,,,
成交件数指数,"20,822",332,"30,528","107,608","430,662","1,310"
,"实际值：55,945",,,,,
,,,,,,
,,,,,,
,北面/THE NORTH FACE,始祖鸟/ARC‘TERYX,匡威/Converse,骆驼/CAMEL,阿迪达斯/adidas,可隆/KOLON SPORT
,,,,,,
成交金额指数,"354,269","9,504","291,592","705,117","1,483,470","62,086"
,"实际值：41,063,479.94",,,,,
成交人数指数,"11,182",272,"30,596","84,393","243,314","1,204"
,"实际值：26,872",,,,,
成交件数指数,"15,235",276,"45,289","111,334","386,460","1,596"
,"实际值：39,224",,,,,
,,,,,,
,,,,,,
,,,,,,
,北面/THE NORTH FACE,始祖鸟/ARC‘TERYX,匡威/Converse,骆驼/CAMEL,阿迪达斯/adidas,可隆/KOLON SPORT
,,,,,,
成交金额指数,"1,005,585","8,612","362,532","1,242,022","2,311,211","172,514"
,"实际值：167,632,434.3",,,,,
成交人数指数,"33,285",347,"44,713","138,143","354,668","2,527"
,"实际值：89,749",,,,,
成交件数指数,"47,537",357,"64,738","200,422","553,867","3,824"
,"实际值：131,777",,,,,
,,,,,,
,,,,,,
,北面/THE NORTH FACE,始祖鸟/ARC‘TERYX,匡威/Converse,骆驼/CAMEL,阿迪达斯/adidas,可隆/KOLON SPORT
,,,,,,
成交金额指数,"744,708","40,045","238,189","1,110,895","2,196,221","158,381"
,"实际值：109,180,026.43",,,,,
成交人数指数,"19,880",633,"26,561","139,584","297,741","2,373"
,"实际值：52,657",,,,,
成交件数指数,"29,715",739,"35,750","202,131","440,340","3,637"
,"实际值：78,077",,,,,
,,,,,,
,,,,,,
,,,,,,
,北面/THE NORTH FACE,始祖鸟/ARC‘TERYX,匡威/Converse,骆驼/CAMEL,阿迪达斯/adidas,可隆/KOLON SPORT
,,,,,,
成交金额指数,"1,117,361","58,900","244,921","1,097,522","1,714,062","136,829"
,"实际值：192,590,425.92",,,,,
成交人数指数,"32,095",649,"20,563","137,402","237,488","1,701"
,"实际值：85,351",,,,,
成交件数指数,"47,069",765,"30,151","194,713","343,960","2,410"
,"实际值：130,636",,,,,
,,,,,,
,,,,,,
,,,,,,
,北面/THE NORTH FACE,始祖鸟/ARC‘TERYX,匡威/Converse,骆驼/CAMEL,阿迪达斯/adidas,可隆/KOLON SPORT
,,,,,,
成交金额指数,"562,267","57,679","256,635","983,994","1,515,445","103,273"
,"实际值：74,624,375.52",,,,,
成交人数指数,"18,712",630,"21,217","111,021","237,804","1,364"
,"实际值：49,431",,,,,
成交件数指数,"27,256",754,"30,784","158,842","354,944","1,902"
,"实际值：69,951",,,,,
,,,,,,
,,,,,,
,,,,,,
,北面/THE NORTH FACE,始祖鸟/ARC‘TERYX,匡威/Converse,骆驼/CAMEL,阿迪达斯/adidas,可隆/KOLON SPORT
,,,,,,
成交金额指数,"469,148","106,366","284,901","777,311","1,105,826","131,270"
,"实际值：56,661,459.81",,,,,
成交人数指数,"21,011","1,194","26,621","99,559","184,053","2,084"
,"实际值：56,591",,,,,
成交件数指数,"32,241","1,462","36,486","147,735","262,574","3,529"
,"实际值：85,944",,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
指标,北面/THE NORTH FACE,始祖鸟/ARC‘TERYX,匡威/Converse,骆驼/CAMEL,阿迪达斯/adidas,可隆/KOLON SPORT
,,,,,,
成交金额指数,"418,106","112,098","345,643","884,222","1,697,690","134,865"
,"实际值：47,371,361.34",,,,,
成交人数指数,"20,763","1,472","37,947","111,141","285,856","2,588"
,"实际值：55,722",,,,,
成交件数指数,"31,343","1,794","53,935","188,391","423,135","4,293"
,"实际值：83,323",,,,,
,,,,,,
,,,,,,
,,,,,,
指标,北面/THE NORTH FACE,始祖鸟/ARC‘TERYX,匡威/Converse,骆驼/CAMEL,阿迪达斯/adidas,可隆/KOLON SPORT
,,,,,,
成交金额指数,"361,184","111,566","282,791","977,305","1,342,847","92,383"
,"实际值：42,361,956.28",,,,,
