Date,CN_Fiscal,CN_Monetary,CN_Trade,CN_EXR,CEPU,LIQ,RET,VOL,DCN_Trade,DCN_EXR,DCEPU
2003/1/1,59.02,42.06,103.27,73.3,141.7656596,0.8112,-0.099589837,0.018023692,1.17,1.75,-53.17
2003/2/1,71.45,46.67,104.44,75.05,88.59653577,0.4252,0.008041879,0.010056305,13.81,5.24,96.19
2003/3/1,84.3,67.03,118.25,80.29,184.7860173,0.5486,-0.000893297,0.009786781,-47.63,-40.94,-60.4758229
2003/4/1,69.51,43.26,70.62,39.35,124.3101944,1.5336,0.007163572,0.014898976,31.19,9.49,-22.2742818
2003/5/1,89.32,49.3,101.81,48.84,102.0359126,0.7701,0.035397698,0.013601299,-48.13,-12.77,-14.71588455
2003/6/1,49.84,34.91,53.68,36.07,87.32002805,0.6609,-0.058953547,0.007881232,-4.66,1.87,5.05222047
2003/7/1,43.4,34.9,49.02,37.94,92.37224852,0.6321,-0.00626445,0.007819626,-17.39,9.75,-3.03802597
2003/8/1,30.31,38.45,31.63,47.69,89.33422255,0.4117,-0.037786689,0.005660822,48.7,29.78,38.48704445
2003/9/1,42.99,44.09,80.33,77.47,127.821267,0.5107,-0.039314671,0.007898249,-22.52,-12.08,-21.3076311
2003/10/1,60.04,48.24,57.81,65.39,106.5136359,0.4809,-0.013891056,0.010662638,14.12,-24.29,-69.35432991
2003/11/1,52.16,50.57,71.93,41.1,37.15930599,0.8066,0.035640009,0.014674168,-17.93,17.09,59.97642371
2003/12/1,52.95,37.91,54,58.19,97.1357297,1.18,0.069005277,0.010756905,20.35,9.25,4.0226733
2004/1/1,75.44,46.53,74.35,67.44,101.158403,0.9362,0.060703205,0.01651532,1.87,-21.62,-54.25457267
2004/2/1,46.44,34.68,76.22,45.82,46.90383033,1.6068,0.051661925,0.013105311,-25.48,7.92,38.44916293
2004/3/1,47.35,44.4,50.74,53.74,85.35299326,1.2099,0.038960759,0.010950733,14.24,3.28,-42.18716743
2004/4/1,37.58,47.9,64.98,57.02,43.16582583,1.2086,-0.087572141,0.009306843,-16.52,-23.51,94.82137897
2004/5/1,25.42,33.48,48.46,33.51,137.9872048,0.4418,-0.02518299,0.0138483,-2.25,-8.25,-78.86611914
2004/6/1,30.04,47.28,46.21,25.26,59.12108566,0.7141,-0.106188527,0.012716923,-21.21,1.71,-8.63412584
2004/7/1,28.1,40.8,25,26.97,50.48695982,0.6573,-0.009305866,0.013426753,65.19,14.16,37.55302134
2004/8/1,37.31,61.15,90.19,41.13,88.03998116,0.4982,-0.032360444,0.010539738,-30.72,-6.27,3.99106698
2004/9/1,30.54,38.27,59.47,34.86,92.03104814,1.0145,0.039906564,0.020015413,-5.16,31.41,15.46947976
2004/10/1,47.56,84.01,54.31,66.27,107.5005279,0.764,-0.056071567,0.015055963,24.26,12.91,-13.51002931
2004/11/1,55.27,68.56,78.57,79.18,93.99049859,0.8082,0.015203332,0.011707264,30.54,-11.56,2.88771327
2004/12/1,75.09,72.09,109.11,67.62,96.87821186,0.5849,-0.056986885,0.009037135,20.42,4.7,-21.14777214
2005/1/1,43.95,73.82,129.53,72.32,75.73043972,0.5219,-0.06077564,0.012233389,-56.77,-29.02,-43.13299358
2005/2/1,58.56,52.55,72.76,43.3,32.59744614,0.5558,0.09148748,0.01741144,-0.65,-1.63,66.4038042
2005/3/1,68.23,50.11,72.11,41.67,99.00125034,0.8932,-0.100404297,0.010362264,-23.42,8.02,-48.63336354
2005/4/1,43.94,51.55,48.69,49.69,50.3678868,0.8929,-0.018877756,0.015580845,19.88,21.63,54.9822809
2005/5/1,35.4,50.35,68.57,71.32,105.3501677,0.4755,-0.0887202,0.010379486,1.85,-8.72,-62.3779106
2005/6/1,67.51,48.99,70.42,62.6,42.9722571,0.9803,0.018864255,0.022842121,124.07,54.21,-7.4170453
2005/7/1,42.03,81.13,194.49,116.81,35.5552118,0.7011,0.001931636,0.014807148,-110.94,-40.8,57.44392677
2005/8/1,44.15,57.22,83.55,76.01,92.99913857,1.4191,0.071068221,0.013724636,-26.31,-45.32,-24.73800249
2005/9/1,34.58,46.18,57.24,30.69,68.26113608,1.2767,-0.006202547,0.012657664,83.53,56.06,-35.53165868
2005/10/1,98.26,67.6,140.77,86.75,32.7294774,0.6923,-0.055866832,0.010988778,-52.62,-33.06,54.0285034
2005/11/1,31.06,46.65,88.15,53.69,86.7579808,0.7356,0.005875715,0.009198133,3.36,18.16,-29.53776995
2005/12/1,78.13,69.37,91.51,71.85,57.22021085,0.7066,0.054696155,0.006725725,-12.78,6.54,26.38822764
2006/1/1,54.39,75.69,78.73,78.39,83.60843849,1.069,0.080229522,0.00963844,18.62,4.85,-18.89333545
2006/2/1,68.16,56.92,97.35,83.24,64.71510304,1.0796,0.032054929,0.010484356,-28.69,-39.36,19.50999265
2006/3/1,55.29,37.49,68.66,43.88,84.22509569,1.1927,-0.000562116,0.008636063,-12.87,17.77,49.27960451
2006/4/1,48.11,43.08,55.79,61.65,133.5047002,1.925,0.103740163,0.010691074,190.22,7.94,-67.48200482
2006/5/1,183.88,55.83,246.01,69.59,66.02269538,2.613,0.130692731,0.021600951,-199.17,-22.59,44.90165072
2006/6/1,50.1,61.86,46.84,47,110.9243461,2.155,0.018657494,0.017049036,30.9,43.66,-68.21725891
2006/7/1,45.16,69.55,77.74,90.66,42.70708719,1.7051,-0.03621771,0.016403532,-27.43,-12.67,-6.34763492
2006/8/1,45.93,57.24,50.31,77.99,36.35945227,1.1142,0.028069594,0.01116572,15.09,-19.21,35.15921201
2006/9/1,39.23,30.41,65.4,58.78,71.51866428,1.3158,0.0549997,0.007697454,22.6,7.55,2.60648163
2006/10/1,60.31,53.86,88,66.33,74.12514591,1.0756,0.047674893,0.010464736,-30.96,-7.34,-30.22924269
2006/11/1,38.24,37.7,57.04,58.99,43.89590322,1.4955,0.132926609,0.01017038,19.79,13.53,23.78248354
2006/12/1,66.13,49.73,76.83,72.52,67.67838676,1.7165,0.242525874,0.017795625,8.58,33.4,12.49245057
2007/1/1,79.83,57.93,85.41,105.92,80.17083733,2.4544,0.040603841,0.027161971,-25.86,-1.62,-15.51171622
2007/2/1,63.48,63.48,59.55,104.3,64.65912111,1.5788,0.033432846,0.033441546,42.85,-8.7,5.4152014
